dataset,model,train_citizens,test_citizens,train_records,test_records,accuracy,precision,recall,f1_score,precision_at_5,recall_at_5,extra
random_80_20,LogisticRegression,4000,1000,80000,20000,0.89905,0.8953188352377442,0.7700110952607386,0.827950575202386,0.8886000000000002,0.7458295454545455,{}
random_80_20,DecisionTree,4000,1000,80000,20000,0.9816,0.9467589111144533,0.9977809478522746,0.9716005556413027,0.9392,0.7854732323232323,{}
random_80_20,RandomForest,4000,1000,80000,20000,0.97365,0.930336409645728,0.9906482802345855,0.9595455592231519,0.9558,0.8017732323232324,{}
random_70_30,LogisticRegression,3500,1500,70000,30000,0.9021666666666667,0.9010840108401084,0.7743198899121414,0.8329063478508397,0.8971999999999998,0.752814454064454,{}
random_70_30,DecisionTree,3500,1500,70000,30000,0.9813,0.9471618357487923,0.9961892664337885,0.9710571119021824,0.9422666666666667,0.7875726791726791,{}
random_70_30,RandomForest,3500,1500,70000,30000,0.9749333333333333,0.9323719542516161,0.992378532867577,0.9614398523228387,0.9577333333333333,0.8028885521885523,{}
random_90_10,LogisticRegression,4500,500,90000,10000,0.9014,0.9089563286454478,0.7684605757196495,0.8328246863343506,0.9052,0.7487602453102453,{}
random_90_10,DecisionTree,4500,500,90000,10000,0.9845,0.9586726998491705,0.9943679599499374,0.9761941330056827,0.948,0.7814453102453103,{}
random_90_10,RandomForest,4500,500,90000,10000,0.9833,0.9632915264606914,0.9852941176470589,0.974168600154679,0.9636,0.7967786435786436,{}
state_holdout,LogisticRegression,3973,1027,79460,20540,0.9042356377799415,0.9025219102128421,0.7801484230055659,0.8368853138734555,0.8991236611489777,0.7515740237259224,"{'held_out_states': ['Karnataka', 'Maharashtra']}"
state_holdout,DecisionTree,3973,1027,79460,20540,0.9821324245374878,0.9489330389992642,0.9969078540507111,0.972329035663123,0.943524829600779,0.7867671006911513,"{'held_out_states': ['Karnataka', 'Maharashtra']}"
state_holdout,RandomForest,3973,1027,79460,20540,0.9817916260954236,0.9540983606557377,0.9897959183673469,0.9716193656093489,0.9587147030185005,0.8016579060882859,"{'held_out_states': ['Karnataka', 'Maharashtra']}"
